n,Sample_ID,Date,Date_n,C_species,C_species_n,Site,Location,Location_n,Pool_type,d13C,F14C,1sig_a,C14_age,1sig_b,C14_input,young_soln,young_soln+sd,young_soln-sd,old_soln,old_soln+sd,old_soln-sd,p_10y,p_50y,p_100y,p_300y,p_500y,p_1000y
52,P7-EdT,NA,NA,Sed,g,P07,Cross Lochs,a,Natural,-27.099,0.737064,0.00339,2451,37,ranges2014-10ky,NA,NA,NA,1795.6,1779.76,1811.73,0.39,1.91,3.7867,10.9353,17.5528,32.0247
53,GP4-CO2-080915,08/09/2015,Sep-15,CO2,c,GP04,Garron Plateau,e,Natural,-15.177,1.052247,0.004828,NA,NA,ranges2014-10ky,3.72,4.32,3.06,113.65,110.39,123.66,5.92,26.28,45.6602,83.9544,95.262,99.7755
54,GP5-CO2-080915,08/09/2015,Sep-15,CO2,c,GP05,Garron Plateau,e,Natural,-17.113,1.055035,0.004856,NA,NA,ranges2014-10ky,4.07,4.65,3.45,114.65,104.98,123.17,5.87,26.09,45.369,83.6951,95.1337,99.7632
55,GP10-CO2-080915,08/09/2015,Sep-15,CO2,c,GP10,Garron Plateau,e,Natural,-13.864,1.032593,0.004752,NA,NA,ranges2014-10ky,0.94,1.6,161.78,152.66,141.56,NA,4.44,20.31,36.495,74.3892,89.6715,98.9332
56,SN5-CO2-080915,08/09/2015,Sep-15,CO2,c,SN05,Slieveanorra,f,Natural,-13.94,1.031381,0.004722,NA,NA,ranges2014-10ky,0.79,1.42,163.98,155.01,145.23,NA,4.37,20.03,36.0555,73.8538,89.3091,98.857
57,SN12-CO2-080915,08/09/2015,Sep-15,CO2,c,SN12,Slieveanorra,f,Natural,-13.373,1.037047,0.004751,NA,NA,ranges2014-10ky,1.56,2.26,0.9,142.42,139.28,153.24,4.75,21.6,38.5336,76.7773,91.2262,99.2302
58,SN15-CO2-080915,08/09/2015,Sep-15,CO2,c,SN15,Slieveanorra,f,Natural,-11.002,1.030502,0.004733,NA,NA,ranges2014-10ky,0.68,1.3,165.61,156.71,147.5,NA,4.33,19.84,35.7449,73.4709,89.0469,98.8003
59,SF2-CO2-100915,10/09/2015,Sep-15,CO2,c,SF02,Silver Flowe,d,Natural,-14.947,1.040279,0.00478,NA,NA,ranges2014-10ky,2.03,2.73,1.34,143.75,132.89,146.99,4.71,21.42,38.2573,76.4627,91.0272,99.1949
60,SF5-CO2-100915,10/09/2015,Sep-15,CO2,c,SF05,Silver Flowe,d,Natural,-12.947,1.028331,0.004487,NA,NA,ranges2014-10ky,NA,NA,NA,160.86,0.97,169.04,4.22,19.38,35.0085,72.5482,88.4047,98.6555
61,SF6-CO2-100915,10/09/2015,Sep-15,CO2,c,SF06,Silver Flowe,d,Natural,-12.718,1.023099,0.004699,NA,NA,ranges2014-10ky,NA,NA,NA,170.32,161.86,196.35,3.99,18.41,33.4329,70.5029,86.9293,98.2916
62,P1-CO2-150915,15/09/2015,Sep-15,CO2,c,P01,Cross Lochs,a,Natural,-10.843,0.996586,0.004342,NA,NA,ranges2014-10ky,NA,NA,NA,266.96,232.28,268.78,2.56,12.17,22.8677,54.1109,72.6988,92.5464
63,P4-CO2-150915,15/09/2015,Sep-15,CO2,c,P04,Cross Lochs,a,Natural,-11.9,1.006108,0.004983,NA,NA,ranges2014-10ky,NA,NA,NA,213.39,220.48,232.05,3.2,14.99,27.735,62.2616,80.2922,96.116
64,P6-CO2-150915,15/09/2015,Sep-15,CO2,c,P06,Cross Lochs,a,Natural,-9.444,0.996795,0.004742,NA,NA,ranges2014-10ky,NA,NA,NA,266.87,230.4,268.86,2.56,12.18,22.8742,54.1226,72.7104,92.5528
65,P7-CO2-150915,15/09/2015,Sep-15,CO2,c,P07,Cross Lochs,a,Restoration,-17.824,1.034219,0.00475,NA,NA,ranges2014-10ky,1.16,1.84,158.69,149.49,137,NA,4.53,20.69,37.104,75.1189,90.1572,99.0312
66,P9-CO2-150915,15/09/2015,Sep-15,CO2,c,P09,Cross Lochs,a,Restoration,-17.974,1.039774,0.004765,NA,NA,ranges2014-10ky,1.96,2.66,1.27,134.83,133,147.94,5.01,22.67,40.1951,78.61,92.3496,99.4147
67,P10-CO2-150915,15/09/2015,Sep-15,CO2,c,P10,Cross Lochs,a,Restoration,-17.366,1.045541,0.004802,NA,NA,ranges2014-10ky,2.8,3.47,2.1,124,115.54,142.37,5.44,24.38,42.8219,81.3065,93.8885,99.6265
68,GP4-DOC-080915,08/09/2015,Sep-15,DOC,a,GP04,Garron Plateau,e,Natural,-27.613,1.093359,0.005009,NA,NA,ranges2014-10ky,8.29,8.89,7.74,65.42,61.06,69.52,10.05,41.13,65.3377,95.8354,99.4996,99.9975
69,GP5-DOC-080915,08/09/2015,Sep-15,DOC,a,GP05,Garron Plateau,e,Natural,-27.739,1.093871,0.005017,NA,NA,ranges2014-10ky,8.34,8.96,7.8,65.04,59.13,69.03,10.11,41.31,65.5505,95.9116,99.5148,99.9976
70,GP10-DOC-080915,08/09/2015,Sep-15,DOC,a,GP10,Garron Plateau,e,Natural,-27.066,1.079207,0.004702,NA,NA,ranges2014-10ky,6.76,7.25,6.26,79.15,74.05,83.74,8.39,35.46,58.3453,92.7724,98.7459,99.9843
71,SN5-DOC-080915,08/09/2015,Sep-15,DOC,a,SN05,Slieveanorra,f,Natural,-27.68,1.038485,0.004757,NA,NA,ranges2014-10ky,1.77,2.47,1.09,138.33,135.25,150.44,4.89,22.16,39.4125,77.7593,91.8358,99.3335
72,SN12-DOC-080915,08/09/2015,Sep-15,DOC,a,SN12,Slieveanorra,f,Natural,-27.819,1.101895,0.005025,NA,NA,ranges2014-10ky,9.29,9.94,8.71,57.32,53.02,61.06,11.39,45.37,70.1579,97.3424,99.7633,99.9994
73,SN15-DOC-080915,08/09/2015,Sep-15,DOC,a,SN15,Slieveanorra,f,Natural,-27.53,1.055426,0.004829,NA,NA,ranges2014-10ky,4.11,4.7,3.5,113.81,104.31,115.5,5.91,26.25,45.6121,83.9118,95.2411,99.7735
74,SF2-DOC-100915,10/09/2015,Sep-15,DOC,a,SF02,Silver Flowe,d,Natural,-25.488,1.066017,0.004645,NA,NA,ranges2014-10ky,5.35,5.85,4.82,94.74,88.52,102.32,7.06,30.64,51.8885,88.8636,97.4222,99.9336
75,SF5-DOC-100915,10/09/2015,Sep-15,DOC,a,SF05,Silver Flowe,d,Natural,-24.782,1.049408,0.0048,NA,NA,ranges2014-10ky,3.34,3.97,2.67,123.31,109.65,132.98,5.47,24.5,43.0009,81.4816,93.9836,99.638
76,SF6-DOC-100915,10/09/2015,Sep-15,DOC,a,SF06,Silver Flowe,d,Natural,-23.427,1.057652,0.004828,NA,NA,ranges2014-10ky,4.38,4.95,3.79,109.24,100.41,112.44,6.15,27.19,46.9804,85.0958,95.8103,99.8245
77,P1-DOC-150915,15/09/2015,Sep-15,DOC,a,P01,Cross Lochs,a,Natural,-26.7,1.001332,0.00439,NA,NA,ranges2014-10ky,NA,NA,NA,231.22,214.74,266.81,2.95,13.92,25.9022,59.3167,77.6629,95.0105
