Site,Location,Date,Date_n,C_species,C_species_n,Pool_type,F14C,yBSD,d13C,Depth,Area,Perimeter,r_time,d_area,DOC_conc,POC_conc,CO2_conc,CH4_conc,pH,EC,DO,Temp,WTD
MUN02,Munsary,17/09/2015,Sep-15,DOC,a,Natural,1.072603,48.81,-28.224,37.45,1757,725,,,,,,,,,,,
MUN03,Munsary,17/09/2015,Sep-15,DOC,a,Restoration,1.079846,45.05,-29.065,59.75,189,89.8,,,,,,,,,,,
MUN01,Munsary,17/09/2015,Sep-15,POC,b,Natural,1.010989,212.315,-24.6,38.15,55,36,,,,,,,,,,,
SF02,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.066017,53.36,-25.488,33.9,67,54.4,,,,,,,,,,,
SF05,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.049408,67.795,-24.782,34.5,492,363,,,,,,,,,,,
SF06,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.057652,57.875,-23.427,33.8,103,97.8,,,,,,,,,,,
SF02,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.040279,73.91,-14.947,33.9,67,54.4,,,,,,,,,,,
SF05,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.028331,84.895,-12.947,34.5,492,363,,,,,,,,,,,
SF06,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.023099,178.89,-12.718,33.8,103,97.8,,,,,,,,,,,
SN05,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.038485,75.61,-27.68,35.25,19,22.5,,,,,,,,,,,
SN12,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.101895,34.855,-27.819,30.95,8.23,19.2,,,,,,,,,,,
SN15,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.055426,59.465,-27.53,42.27777778,43.6,42.3,,,,,,,,,,,
SN05,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.031381,82.26,-13.94,35.25,19,22.5,,,,,,,,,,,
SN12,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.037047,76.925,-13.373,30.95,8.23,19.2,,,,,,,,,,,
SN15,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.030502,83.03,-11.002,42.27777778,43.6,42.3,,,,,,,,,,,
GP04,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.093359,38.48,-27.613,47.15,108,138,,,,,,,,,,,
GP05,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.093871,38.26,-27.739,49.55,40.9,49.6,,,,,,,,,,,
GP10,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.079207,44.83,-27.066,57.41666667,26,22.7,,,,,,,,,,,
GP04,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.052247,63.33,-15.177,47.15,108,138,,,,,,,,,,,
GP05,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.055035,59.47,-17.113,49.55,40.9,49.6,,,,,,,,,,,
GP10,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.032593,81.23,-13.864,57.41666667,26,22.7,,,,,,,,,,,
